name,longitude,latitude
versonnex,6.09723,46.3023
saint laurent sur saone,4.83333,46.3
artemare,5.7,45.8667
montracol,5.11667,46.1833
parves,5.75,45.75
pugieu,5.65,45.8167
virieu le grand,5.65,45.85
saint remy,5.16667,46.1833
rance,4.86667,45.9667
grieges,4.85,46.25
grand corent,5.43333,46.2
outriaz,5.55,46.0667
montagnieu,5.46667,45.8
champagne en valromey,5.68333,45.9
amberieux en dombes,4.9,46
la boisse,5.03333,45.85
parcieux,4.81667,45.9167
saint didier d aussiat,5.06667,46.3
saint nizier le bouchoux,5.15,46.45
ars sur formans,4.81667,45.9833
anglefort,5.80833,45.9167
corlier,5.5,46.0333
ferney voltaire,6.11667,46.25
saint maurice de remens,5.28333,45.95
chatillon la palud,5.25,45.9667
saint sulpice,5.04167,46.3203
saint bois,5.63333,45.7
virignin,5.71667,45.7167
premillieu,5.56667,45.8667
genouilleux,4.78333,46.1167
reyssouze,4.91667,46.4333
collonges,5.9,46.1333
saint germain de joux,5.73333,46.1833
bregnier cordon,5.61667,45.65
saint martin le chatel,5.11667,46.2833
marignieu,5.71667,45.8
les neyrolles,5.63333,46.1333
sulignat,4.96667,46.1667
beny,5.28333,46.3333
injoux genissiat,5.78333,46.05
chanay,5.78333,46
chatillon sur chalaronne,4.96667,46.1167
farges,5.91667,46.1667
saint alban,5.45,46.1
curtafond,5.08333,46.2667
viriat,5.21667,46.25
belleydoux,5.76667,46.25
bage le chatel,4.93333,46.3
sainte olive,4.93333,46.0167
saint genis sur menthon,5.01667,46.2833
domsure,5.3,46.4167
chavannes sur suran,5.41667,46.2667
priay,5.28333,46
peyrieu,5.67751,45.6767
lalleyriat,5.71667,46.15
sergy,6,46.25
saint martin du frene,5.55,46.1333
saint maurice de beynost,4.96667,45.8333
servas,5.16667,46.1333
cuzieu,5.67445,45.8192
jayat,5.11667,46.3667
lavours,5.76667,45.8
chevroux,4.95,46.3833
pollieu,5.75,45.8
beligneux,5.11667,45.8667
brenaz,5.71667,45.95
benonces,5.48333,45.8333
saint jean le vieux,5.38917,46.0284
beauregard,4.75139,46.002
oyonnax,5.66667,46.25
mionnay,4.93333,45.9
germagnat,5.45,46.3167
coligny,5.35,46.3833
simandre sur suran,5.41667,46.2167
l abergement clemenciat,4.91667,46.15
lescheroux,5.15,46.4
ornex,6.1,46.2833
dommartin,4.99167,46.3417
lompnas,5.51667,45.8
bettant,5.36667,45.9333
armix,5.58333,45.85
feillens,4.88333,46.3333
chavornay,5.7,45.8833
challex,5.96667,46.1833
vongnes,5.71667,45.8167
magnieu,5.71667,45.7833
groissiat,5.6,46.2167
dompierre sur chalaronne,4.9,46.1333
montluel,5.05,45.85
le poizat,5.7,46.15
hostiaz,5.53333,45.9
montanges,5.8,46.1667
sainte julie,5.28333,45.8833
bey,4.85,46.2167
sonthonnax la montagne,5.53333,46.2333
mezeriat,5.03333,46.2333
bellignat,5.61667,46.25
saint marcel,4.98723,45.9487
belley,5.68333,45.7667
corbonod,5.81667,45.95
neyron,4.93223,45.8148
saint paul de varax,5.13333,46.1
pressiat,5.38333,46.3333
chazey bons,5.68333,45.8
servignat,5.06667,46.4333
marlieux,5.06667,46.0667
andert et condon,5.65,45.8
hautecourt romaneche,5.41667,46.1583
crottet,4.9,46.2833
druillat,5.31667,46.0667
dompierre sur veyle,5.2,46.0667
perouges,5.18333,45.9
rignieux le franc,5.18333,45.9333
giron,5.76667,46.2333
cerdon,5.46667,46.0833
cruzilles les mepillat,4.88333,46.2167
lelex,5.95,46.3
lhopital,5.77834,46.0217
segny,6.08333,46.3
cheignieu la balme,5.61667,45.8333
saint vulbas,5.28333,45.8333
echallon,5.74139,46.21
le montellier,5.06667,45.9333
martignat,5.6,46.2167
ceyzeriat,5.31667,46.1667
montcet,5.11667,46.2
vonnas,5,46.2167
buellas,5.13333,46.2
saint benigne,4.96667,46.4333
chevillard,5.58333,46.1167
bouligneux,5,46.0167
contrevoz,5.63333,45.8
champdor,5.6,46.0167
port,5.56667,46.1667
surjoux,5.8,46.0167
champfromier,5.81667,46.2
vesines,4.86667,46.35
seillonnaz,5.48333,45.8
varambon,5.31667,46.0333
le grand abergement,5.66667,46.0333
jassans riottier,4.75,45.9833
asnieres sur saone,4.88333,46.3833
condamine,5.56667,46.1167
lhuis,5.53333,45.75
romans,5.03333,46.1167
pizay,5.08333,45.8833
certines,5.26667,46.1333
ruffieu,5.66667,46
meximieux,5.2,45.9
saint rambert en bugey,5.43333,45.95
ambronay,5.35,46
cize,5.43333,46.2
saint germain sur renon,5.05,46.0833
villette sur ain,5.26862,45.9884
dagneux,5.06667,45.85
